ClassQualifiedName,CBO,CYCLO,DIT,ELOC,FanIn,LCOM,LOC,LOCNAMM,NMNOPARAM,NOA,NOC,NOM,NOMNAMM,NOPA,PMMM,PRB,WLOCNAMM,WMC,WMCNAMM,Complex_Class,Large_Class,Spaghetti_Code,project_name
org.apache.lucene.analysis.BaseTokenStreamTestCase,62,62,2,220,406,325,220,220,0,0,169,26,26,0,0.8461538461538461,0,7.1923076923076925,62,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.analysis.CollationTestBase,24,24,2,162,7,28,162,162,1,4,6,8,8,0,0,0,21.5,24,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.analysis.MockAnalyzer,24,24,2,110,1281,8,110,110,0,8,0,9,9,0,0,0,10.222222222222221,24,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.analysis.MockFixedLengthPayloadFilter,6,6,2,22,6,0,22,22,1,4,0,2,2,0,0,0,8,6,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.analysis.MockTokenizer,23,23,2,75,987,48,75,75,5,13,0,12,12,4,0.08333333333333333,0,3.8333333333333335,23,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.analysis.MockVariableLengthPayloadFilter,6,6,2,23,4,0,23,23,1,5,0,2,2,0,0,0,8,6,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.analysis.VocabularyAssert,11,11,1,52,1,6,52,52,0,0,0,4,4,0,0,0,11.75,11,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.DocHelper,14,14,1,165,293,15,165,165,0,56,0,6,6,56,0,0,9.166666666666666,14,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.MockIndexInput,7,7,2,32,24,2,32,32,2,3,0,5,5,0,0,0,5.4,7,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.MockRandomMergePolicy,16,16,2,27,6,9,27,27,1,1,0,6,6,0,0.5,0,4,16,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.RandomIndexWriter,66,66,1,184,746,0,184,184,9,8,0,26,26,1,0.5769230769230769,0,6.153846153846154,66,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.SlowMultiReaderWrapper,7,7,2,19,10,6,19,19,2,0,0,4,4,0,0.25,0,3.5,7,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.ThreadedIndexingAndSearchingTestCase,56,56,2,307,5,154,307,307,5,6,4,20,20,0,0.3,0,18.35,56,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.queryParser.QueryParserTestBase,157,157,2,764,6,1709,764,764,37,2,3,59,59,1,0.15254237288135594,0,12.11864406779661,157,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.search.AssertingIndexSearcher,6,6,2,44,7,3,44,44,0,0,0,3,3,0,0,0,4.333333333333333,6,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.search.CachingWrapperFilterHelper,14,14,2,36,15,13,36,36,2,1,0,6,6,0,0.3333333333333333,0,5,14,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.search.CheckHits,46,46,1,337,53,55,337,337,0,1,0,11,11,1,0,0,21.272727272727273,46,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.search.QueryUtils,69,69,1,278,297,175,278,278,2,5,0,22,22,0,0.09090909090909091,0,16.40909090909091,69,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.store.MockDirectoryWrapper,145,145,2,460,369,750,460,439,23,25,0,53,47,1,0.07547169811320754,0,8.170212765957446,145,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.store.MockIndexInputWrapper,48,48,2,107,11,0,107,107,13,5,0,20,20,0,0,0,4.85,48,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.store.MockIndexOutputWrapper,24,24,2,101,8,0,101,101,4,5,0,10,10,0,0.5,0,9.1,24,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.store.MockLockFactoryWrapper,10,10,2,48,5,0,48,48,2,2,0,6,6,0,0.6666666666666666,0,3.3333333333333335,10,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.store._TestHelper,12,12,1,34,7,3,34,34,0,0,0,3,3,0,0,0,9.666666666666666,12,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.util.English,13,13,1,158,303,10,158,158,1,0,0,5,5,0,0.2,0,30.6,13,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.util.LineFileDocs,20,20,1,123,37,5,123,123,2,6,0,6,6,0,0.3333333333333333,0,15.166666666666666,20,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.util.LuceneJUnitDividingSelector,10,10,2,42,1,0,42,42,1,3,0,3,3,0,0,0,9.333333333333334,10,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.util.LuceneJUnitResultFormatter,42,42,1,222,5,87,222,222,1,8,0,15,15,0,0.2,0,12,42,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.util.LuceneTestCase,231,231,2,915,805,2078,915,912,25,39,675,77,76,15,0.3246753246753247,0,10.539473684210526,231,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.util.LuceneTestCaseRunner,27,27,2,107,9,21,107,107,2,2,0,7,7,0,0.14285714285714285,0,15.857142857142858,27,0,0,0,0,../../metrics/lucene-3.6.0
